[Customer name : vkj, Sent from : chennai, Sent to : mumbai, Weight : 34.0kg, Category : A, payment : 525, Orderdate : 2022-04-29, deliverydate : 2022-05-04, TrackId : 2134]
[Customer name : ama, Sent from : chennai, Sent to : mumbai, Weight : 5.0kg, Category : A, payment : 525, Orderdate : 2022-05-01, deliverydate : 2022-05-06, TrackId : 3527]
[Customer name : vkj, Sent from : chennai, Sent to : bangalore, Weight : 56.0kg, Category : B, payment : -80, Orderdate : 2022-05-01, deliverydate : 2022-05-04, TrackId : 2051]
[Customer name : vkj, Sent from : chennai, Sent to : mumbai, Weight : 45.0kg, Category : A, payment : 495, Orderdate : 2022-05-01, deliverydate : 2022-05-06, TrackId : 5189]
[Customer name : vkj, Sent from : chennai, Sent to : bangalore, Weight : 23.0kg, Category : A, payment : 147, Orderdate : 2022-05-01, deliverydate : 2022-05-04, TrackId : 4397]
[Customer name : vkj, Sent from : chennai, Sent to : delhi, Weight : 230.0kg, Category : D, payment : 525, Orderdate : 2022-05-01, deliverydate : 2022-05-06, TrackId : 2519]
[Customer name : jackie, Sent from : guwahati, Sent to : kolkata, Weight : 78.0kg, Category : B, payment : 281, Orderdate : 2022-05-01, deliverydate : 2022-05-05, TrackId : 2804]
[Customer name : vignuuk, Sent from : hyderabad, Sent to : kochi, Weight : 56.0kg, Category : B, payment : 165, Orderdate : 2022-05-01, deliverydate : 2022-05-04, TrackId : 9363]
[Customer name : anna, Sent from : tiruchi, Sent to : coimbatore, Weight : 67.0kg, Category : B, payment : 187, Orderdate : 2022-05-01, deliverydate : 2022-05-04, TrackId : 429]
[Customer name : vigneshwaran, Sent from : bangalore, Sent to : kolkata, Weight : 45.0kg, Category : A, payment : 420, Orderdate : 2022-05-01, deliverydate : 2022-05-06, TrackId : 3463]
[Customer name : jjj, Sent from : kochi, Sent to : guwahati, Weight : 78.0kg, Category : B, payment : 385, Orderdate : 2022-05-01, deliverydate : 2022-05-06, TrackId : 6302]
[Customer name : akshayaa, Sent from : bangalore, Sent to : chennai, Weight : 90.0kg, Category : B, payment : 176, Orderdate : 2022-05-01, deliverydate : 2022-05-04, TrackId : 3614]
[Customer name : jayasri, Sent from : chennai, Sent to : mumbai, Weight : 79.0kg, Category : B, payment : 385, Orderdate : 2022-05-01, deliverydate : 2022-05-06, TrackId : 2108]
